time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2017-01-15T20:36:01.20Z,28.2198540,-82.1511917,22.987,-0.38,0.69,0.94,33.133,60.929,3.24,0.00000,122.33222,3,6
2017-01-15T20:36:01.40Z,28.2198415,-82.1511926,23.268,-0.01,0.50,0.87,25.241,35.603,2.15,0.00000,122.33238,3,6
2017-01-15T20:36:01.60Z,28.2198530,-82.1511851,24.416,0.04,0.39,0.80,25.512,36.808,1.86,0.00000,122.33252,3,6
2017-01-15T20:36:01.80Z,28.2198518,-82.1511829,24.039,-0.24,0.43,0.65,22.203,33.663,1.40,0.00000,122.33262,3,6
2017-01-15T20:36:02.00Z,28.2198420,-82.1512433,31.760,-0.30,0.10,0.10,18.193,27.956,0.50,0.00000,122.33266,3,8
2017-01-15T20:36:02.20Z,28.2198343,-82.1512885,35.805,-0.28,0.02,-0.14,15.907,23.663,0.68,0.00000,122.33272,3,7
2017-01-15T20:36:02.40Z,28.2198314,-82.1513100,41.767,0.21,0.07,0.09,13.346,20.469,0.53,0.00000,122.33276,3,9
2017-01-15T20:36:02.60Z,28.2198382,-82.1513330,49.127,0.10,0.16,0.06,11.092,16.688,0.42,0.00000,122.33278,3,10
2017-01-15T20:36:02.80Z,28.2198351,-82.1513474,55.782,-0.20,-0.19,-0.11,9.503,14.338,0.41,0.00000,122.33280,3,10
2017-01-15T20:36:03.00Z,28.2198335,-82.1513650,58.526,-0.36,-0.14,-0.19,8.443,12.303,0.44,212.15404,33.76841,3,10
2017-01-15T20:36:03.20Z,28.2198305,-82.1513811,62.547,-0.48,-0.25,-0.02,8.005,11.521,0.49,209.43445,26.66589,3,8
2017-01-15T20:36:03.40Z,28.2198429,-82.1513864,64.106,-0.49,-0.25,0.18,7.499,10.692,0.38,207.85689,23.47368,3,10
2017-01-15T20:36:03.60Z,28.2198546,-82.1513894,63.137,-0.50,-0.13,0.24,7.087,9.810,0.37,201.47650,23.94135,3,10
2017-01-15T20:36:03.80Z,28.2198604,-82.1513953,62.027,-0.47,-0.09,0.33,6.760,9.144,0.37,197.13808,27.57342,3,10
2017-01-15T20:36:04.00Z,28.2198598,-82.1513952,60.175,-0.18,0.09,0.45,6.425,8.713,0.34,197.13808,27.57358,3,11
2017-01-15T20:36:04.20Z,28.2198570,-82.1513959,58.374,-0.04,0.18,0.47,6.119,8.389,0.43,197.13808,27.57374,3,11
2017-01-15T20:36:04.40Z,28.2198446,-82.1514023,56.923,0.12,0.08,0.63,5.735,8.116,0.47,197.13808,27.57396,3,11
2017-01-15T20:36:04.60Z,28.2198400,-82.1514037,55.527,0.28,0.22,0.62,5.489,7.823,0.52,197.13808,27.57419,3,11
